no,name,organization,country,source_url,alt_url,source_type,confidence,notes
31,Neil NARRIMAN,Puma Fikri Mülkiyet Küresel Direktörü,ALMANYA,https://about.puma.com/en/newsroom/news/pumas-general-counsel-intellectual-property-voted-president-fesi,https://theorg.com/org/puma/org-chart/neil-narriman,press_release,high,PUMA basın bülteni fotoğrafı
32,Colin DENYER,Apple Senior Investigator,İNGİLTERE,https://www.linkedin.com/in/colin-denyer-b393828a/,,linkedin,medium,LinkedIn fotoğrafını oturum açık tarayıcıdan kaydedin
33,Marcus AKOTA,Amazon Küresel Risk Yöneticisi,ABD,,,not_found,none,"Tekrar arandı; bu isimle Amazon'da kayıt yok - isim yazımı büyük olasılıkla hatalı, organizatörden teyit isteyin"
34,Claudio BERGONZI,Alibaba Director Global IP Enforcement,İTALYA,https://www.insme.org/annual-meetings/annual-meeting-2025/,https://www.linkedin.com/posts/claudio-bergonzi-0277a88_livolsi-activity-7135777287362260992-Wi5Z,conference_page,high,INSME 2025 konuşmacı fotoğrafı
35,Şanel KARATEPE,PTTAVM Kamu Politikaları Başkanı,TÜRKİYE,https://www.linkedin.com/search/results/people/?keywords=%C5%9Eanel%20PttAVM,,linkedin_search,low,"Tekrar arandı; kaynaklarda 'Şanel Ala' olarak geçiyor (sanel.ala@pttem.com) - LinkedIn'de manuel arama gerekli"
36,Nicole KLUG,Hugo Boss Global IP Head,İSVİÇRE,https://www.worldtrademarkreview.com/rankings/wtr-300/profile/person/nicole-klug,https://theorg.com/org/hugo-boss/org-chart/nicole-klug,professional_profile,high,"WTR 300 profili (listede 'Nicola' yazılmış, doğrusu Nicole)"
37,Jose Enrique BLASCO RUIZ,Pop Mart (Labubu) Temsilcisi,İSPANYA,https://www.linkedin.com/search/results/people/?keywords=Jose%20Enrique%20Blasco%20Pop%20Mart,,linkedin_search,none,"Tekrar arandı; Pop Mart Avrupa ekibinde bu isimle kamuya açık kayıt yok - organizatörden teyit isteyin"
38,Süleyman KENAR,AIB Türkiye Koordinatörü,TÜRKİYE,https://www.aib-seeds.com/,,org_site,low,"Tekrar arandı; AIB sitesinde ekip fotoğrafı yok - AIB'den istenmesi önerilir (No 48 ile aynı kişi)"
39,Direnç BADA,Avukat (Gün + Partners),TÜRKİYE,https://gun.av.tr/people/direnc-bada,https://ista.org.tr/en/member/118/,firm_profile,high,Büro profil sayfasında profesyonel portre
40,Niall McCARTHY,PSI (Pharmaceutical Security Institute) EMEA Bölge Direktörü,İRLANDA,https://www.linkedin.com/in/niall-mccarthy-88a57178/,https://www.psi-inc.org/,linkedin,medium,"KURUM TESPİT EDİLDİ: PSI EMEA Regional Director (eski HPRA); LinkedIn fotoğrafını oturum açık tarayıcıdan kaydedin"
41,Anton PAKHOMOV,Pfizer Güvenlik Direktörü,RUSYA,https://www.linkedin.com/search/results/people/?keywords=Anton%20Pakhomov%20Pfizer,,linkedin_search,low,ZoomInfo kaydı var (Director Security Pfizer); LinkedIn'de manuel arama gerekli
42,Mesut ÜK,Sağlık Bakanlığı Teftiş Kurulu Başkan Yrd.,TÜRKİYE,https://www.saglikpersoneli.com.tr/bakanliga-2-yeni-basmufettis-atandi,https://balikesirism.saglik.gov.tr/TR-380799/saglik-bakanligi-teftis-kurulu-baskanligi-tarafindan-yurutulen-risk-esasli-denetim-sistemi-redes-kapsaminda-duzenlenen-2026-yili-saha-calismalari-cercevesinde-egitim-toplantisi-duzenlendi.html,news_article,medium,REDES koordinatörü/başmüfettiş; atama haberi + REDES etkinlik fotoğrafları
43,Bora ÇAKMAK,MASAK FATF Delegasyon Başkanı,TÜRKİYE,https://tr.linkedin.com/in/bora-cakmak-2718b1241,,linkedin,medium,LinkedIn fotoğrafını oturum açık tarayıcıdan kaydedin
44,Dr. Recep Tolga KIVANÇ,TOB Veteriner Sağlık Ürünleri Daire Başkanı,TÜRKİYE,https://www.tarimorman.gov.tr/GKGM/Sayfalar/Detay.aspx?SayfaId=4,https://tvhb.org.tr/2023/11/13/e-recete-its-ve-ats-sorunlarini-tarim-ve-orman-bakanligina-ilettik/,official_page,medium,GKGM daire sayfası + TVHB haber fotoğrafları
45,Mehmet ÇAKMAK,TOB Tohumculuk Dairesi Yüksek Mühendis,TÜRKİYE,,,not_found,none,Tekrar arandı; sunum PDF'leri var ancak portre yok - Bakanlıktan istenmesi önerilir
47,Ali BOZOĞLU,Avukat (Kenaroğlu),TÜRKİYE,https://kenaroglu.av.tr/ali-bozoglu,,firm_profile,high,Büro profil sayfasında profesyonel portre
49,Artur SHAMILOV (listede SAMILOVA),FAO Budapeşte Temsilcisi,MACARİSTAN,https://www.researchgate.net/profile/Artur-Shamilov,https://www.fao.org/hungary/en,professional_profile,medium,FAO REU Budapeşte tarım uzmanı; isim listede muhtemelen hatalı yazılmış
50,Burak DEVECİ,TOB Veteriner Hizmetleri ve Halk Sağlığı Daire Başkanı,TÜRKİYE,https://www.karsvho.org.tr/kars-vho-baskani-odulden-daire-baskani-burak-deveciye-ziyaret/,https://www.avho.org.tr/veteriner-hizmetleri-ve-halk-sagligi-daire-baskanligindan-odamiza-ziyaret/,news_article,medium,Oda ziyaret haberlerindeki fotoğraflar
